Date,Time,Temperature
17.04.2026,09:41:04,21.0
17.04.2026,09:42:04,21.0
17.04.2026,09:43:04,21.0
17.04.2026,09:44:04,21.0
17.04.2026,09:45:04,21.0
17.04.2026,09:46:04,21.0
17.04.2026,09:47:04,21.0
17.04.2026,09:48:04,21.0
17.04.2026,09:49:04,21.0
17.04.2026,09:50:04,21.0
17.04.2026,09:51:04,21.0
17.04.2026,09:52:04,21.0
17.04.2026,09:53:04,21.0
17.04.2026,09:54:04,21.0
17.04.2026,09:55:04,21.0
17.04.2026,09:56:04,21.0
17.04.2026,09:57:04,21.0
17.04.2026,09:58:04,21.0
17.04.2026,09:59:04,21.0
17.04.2026,10:00:04,21.0
17.04.2026,10:01:04,21.0
17.04.2026,10:02:04,21.0
17.04.2026,10:03:04,21.0
17.04.2026,10:04:04,21.0
17.04.2026,10:05:04,21.0
17.04.2026,10:06:04,21.0
17.04.2026,10:07:04,21.0
17.04.2026,10:08:04,21.0
17.04.2026,10:09:04,21.0
17.04.2026,10:10:04,21.0
17.04.2026,10:11:04,21.0
17.04.2026,10:12:04,21.0
17.04.2026,10:13:04,21.0
17.04.2026,10:14:04,21.0
17.04.2026,10:15:04,21.0
17.04.2026,10:16:04,21.0
17.04.2026,10:17:04,21.0
17.04.2026,10:18:04,21.0
17.04.2026,10:19:04,21.0
17.04.2026,10:20:04,21.0
17.04.2026,10:21:04,21.0
17.04.2026,10:22:04,21.0
17.04.2026,10:23:04,21.0
17.04.2026,10:24:04,21.0
17.04.2026,10:25:04,21.0
17.04.2026,10:26:04,21.0
17.04.2026,10:27:04,21.0
17.04.2026,10:28:04,21.0
17.04.2026,10:29:04,21.0
17.04.2026,10:30:04,21.0
17.04.2026,10:31:04,21.0
17.04.2026,10:32:04,21.0
17.04.2026,10:33:04,21.0
17.04.2026,10:34:04,21.0
17.04.2026,10:35:04,21.0
17.04.2026,10:36:04,21.0
17.04.2026,10:37:04,21.0
17.04.2026,10:38:04,21.0
17.04.2026,10:39:04,21.0
17.04.2026,10:40:04,21.0
17.04.2026,10:41:04,21.0
17.04.2026,10:42:04,21.0
17.04.2026,10:43:04,21.0
17.04.2026,10:44:04,21.0
17.04.2026,10:45:04,21.0
17.04.2026,10:46:04,21.0
17.04.2026,10:47:04,21.0
17.04.2026,10:48:04,21.0
17.04.2026,10:49:04,21.0
17.04.2026,10:50:04,21.0
17.04.2026,10:51:04,21.0
17.04.2026,10:52:04,21.0
17.04.2026,10:53:04,21.0
17.04.2026,10:54:04,21.0
17.04.2026,10:55:04,21.0
17.04.2026,10:56:04,21.0
17.04.2026,10:57:04,21.0
17.04.2026,10:58:04,21.0
17.04.2026,10:59:04,21.0
17.04.2026,11:00:04,21.0
17.04.2026,11:01:04,21.0
17.04.2026,11:02:04,21.0
17.04.2026,11:03:04,21.0
17.04.2026,11:04:04,21.0
17.04.2026,11:05:04,21.0
17.04.2026,11:06:04,21.0
17.04.2026,11:07:04,21.0
17.04.2026,11:08:04,21.0
17.04.2026,11:09:04,21.0
17.04.2026,11:10:04,21.0
17.04.2026,11:11:04,21.0
17.04.2026,11:12:04,21.0
17.04.2026,11:13:04,21.0
17.04.2026,11:14:04,21.0
17.04.2026,11:15:04,21.0
17.04.2026,11:16:04,21.0
17.04.2026,11:17:04,21.0
17.04.2026,11:18:04,21.0
17.04.2026,11:19:04,21.0
17.04.2026,11:20:04,21.0
17.04.2026,11:21:04,21.0
17.04.2026,11:22:04,21.0
17.04.2026,11:23:04,21.0
17.04.2026,11:24:04,21.0
17.04.2026,11:25:04,21.0
17.04.2026,11:26:04,21.0
17.04.2026,11:27:04,21.0
17.04.2026,11:28:04,21.0
17.04.2026,11:29:04,21.0
17.04.2026,11:30:04,21.0
17.04.2026,11:31:04,21.0
17.04.2026,11:32:04,21.0
17.04.2026,11:33:04,21.0
17.04.2026,11:34:04,21.0
17.04.2026,11:35:04,21.0
17.04.2026,11:36:04,21.0
17.04.2026,11:37:04,21.0
17.04.2026,11:38:04,21.0
17.04.2026,11:39:04,21.0
17.04.2026,11:40:04,21.0
17.04.2026,11:41:04,21.5
17.04.2026,11:42:04,21.5
17.04.2026,11:43:04,21.5
17.04.2026,11:44:04,21.5
17.04.2026,11:45:04,22.0
17.04.2026,11:46:04,22.0
17.04.2026,11:47:04,22.0
17.04.2026,11:48:04,22.0
17.04.2026,11:49:04,22.0
17.04.2026,11:50:04,22.5
17.04.2026,11:51:04,22.5
17.04.2026,11:52:04,22.5
17.04.2026,11:53:04,22.5
17.04.2026,11:54:04,22.5
17.04.2026,11:55:04,22.5
17.04.2026,11:56:04,22.5
17.04.2026,11:57:04,22.5
17.04.2026,11:58:04,23.0
17.04.2026,11:59:04,23.0
17.04.2026,12:00:04,23.0
17.04.2026,12:01:04,23.0
17.04.2026,12:02:04,23.0
17.04.2026,12:03:04,23.0
17.04.2026,12:04:04,23.0
17.04.2026,12:05:04,23.0
17.04.2026,12:06:04,23.0
17.04.2026,12:07:04,23.0
17.04.2026,12:08:04,23.5
17.04.2026,12:09:04,23.5
17.04.2026,12:10:04,23.5
17.04.2026,12:11:04,23.5
17.04.2026,12:12:04,23.5
17.04.2026,12:13:04,23.5
17.04.2026,12:14:04,23.5
17.04.2026,12:15:04,23.5
17.04.2026,12:16:04,23.5
17.04.2026,12:17:04,23.5
17.04.2026,12:18:04,23.5
17.04.2026,12:19:04,23.5
17.04.2026,12:20:04,23.5
17.04.2026,12:21:04,24.0
17.04.2026,12:22:04,23.5
